year,size,male,age,edu,edu1,edu2,edu3,edu4,mar,tenure,metro,oc1,oc2,oc3,oc4,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,non_regular,weektime,hourlywage,hourly_wage_r
2006,9,1,38,16,0,0,0,1,1,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,48,1,1
2005,9,1,32,12,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2003,9,0,31,12,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,48,1,1
2002,9,1,35,12,0,1,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,1,1
2006,9,1,33,16,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2005,9,1,36,16,0,0,0,1,1,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,43,1,2
2006,9,1,41,12,0,1,0,0,1,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2005,9,1,38,12,0,1,0,0,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2002,9,1,38,12,0,1,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,1,2
2005,9,1,53,12,0,1,0,0,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,0,44,12,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,56,1,1
2005,9,0,25,12,0,1,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40,1,1
2005,9,1,36,18,0,0,0,1,1,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,3
2006,9,1,46,9,1,0,0,0,1,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2004,9,1,49,16,0,0,0,1,1,23,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,31,16,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40,1,2
2003,9,1,41,12,0,1,0,0,1,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2004,9,1,37,12,0,1,0,0,1,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,40,2,2
2004,9,0,32,14,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,0,0
2006,9,1,58,9,1,0,0,0,1,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,3,3
2005,9,1,48,12,0,1,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,40,1,1
2006,9,1,58,14,0,0,1,0,1,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,3,4
2006,9,1,36,12,0,1,0,0,1,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2004,9,1,37,12,0,1,0,0,1,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,1,2
2003,9,1,32,18,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60,0,1
2003,9,1,31,14,0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,55,1,1
2006,9,1,49,18,0,0,0,0,1,19,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2004,9,1,50,12,0,1,0,0,1,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2003,9,1,30,16,0,0,0,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2003,9,1,35,16,0,0,0,1,1,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50,1,1
2006,9,1,55,12,0,1,0,0,1,28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,50,2,2
2006,9,1,46,16,0,0,0,1,1,17,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,2
2006,9,0,43,12,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2002,9,1,54,12,0,1,0,0,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,1,1
2004,9,0,29,14,0,0,1,0,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,45,1,1
2004,9,1,41,12,0,1,0,0,1,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,57,9,1,0,0,0,1,35,1,0,0,0,1,0,0,0,1,0,0,0,0,1,50,1,1
2005,9,0,22,14,0,0,1,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2004,9,1,37,16,0,0,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,3
2005,9,0,27,16,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2005,9,1,35,12,0,1,0,0,1,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,45,1,1
2003,9,1,35,12,0,1,0,0,1,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,1,2
2006,9,1,48,12,0,1,0,0,1,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,45,3,3
2004,9,0,32,16,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,1,1
2002,9,1,35,12,0,1,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,1,1
2006,9,1,35,12,0,0,0,1,1,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,56,2,2
2006,9,1,34,12,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,2,2
2006,9,1,34,16,0,0,0,1,1,11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,48,1,1
2006,9,1,31,16,0,0,0,1,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,50,1,1
2003,9,1,56,9,1,0,0,0,1,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,72,1,1
2002,9,1,25,16,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,45,1,1
2004,9,1,38,18,0,0,0,1,1,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,45,2,2
2003,9,0,27,12,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,0,0
2003,9,1,52,12,0,1,0,0,1,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2002,9,1,38,12,0,1,0,0,1,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,1,2
2004,9,1,46,12,0,1,0,0,1,20,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,2,3
2004,9,1,41,12,0,1,0,0,1,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,2,2
2006,9,1,38,16,0,0,0,1,1,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,2,3
2004,9,1,49,17,0,0,0,1,1,19,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,2,3
2003,9,1,35,16,0,0,0,1,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,70,1,1
2002,9,1,27,16,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2005,9,1,21,12,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,0,0
2004,9,1,33,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,2,2
2002,9,1,41,16,0,0,0,1,1,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,64,1,1
2006,9,0,27,16,0,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,45,1,1
2005,9,0,22,12,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,44,1,1
2006,9,1,34,16,0,0,0,1,1,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40,2,2
2003,9,1,35,18,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,54,2,2
2005,9,1,37,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,70,0,0
2006,9,1,37,16,0,0,0,1,1,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40,2,2
2005,9,1,40,16,0,0,0,1,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,3
2005,9,1,48,16,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,48,2,2
2006,9,0,37,16,0,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,45,1,1
2004,9,1,41,16,0,0,0,1,1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48,2,2
2002,9,1,32,14,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,1,1
2005,9,1,35,20,0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,2
2006,9,0,25,16,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2004,9,1,44,12,0,1,0,0,1,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2003,9,0,33,16,0,0,0,1,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,70,1,1
2006,9,0,21,12,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,43,1,1
2006,9,1,55,12,0,1,0,0,1,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,3,3
2002,9,1,40,16,0,0,0,1,1,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,46,1,2
2005,9,1,45,12,0,1,0,0,1,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2002,9,1,43,16,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,1,1
2005,9,1,32,12,0,1,0,0,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,2,2
2006,9,1,39,16,0,0,0,1,1,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,3,3
2002,9,1,32,12,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,1,1
2006,9,1,42,18,0,0,0,0,1,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,3,3
2006,9,1,43,18,0,0,0,0,1,13,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40,2,3
2003,9,1,49,18,0,0,0,1,1,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,48,3,4
2004,9,1,33,18,0,0,0,1,1,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,54,1,1
2002,9,1,51,21,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,2,2
2004,9,0,32,12,0,1,0,0,1,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2002,9,1,34,16,0,0,0,1,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,40,1,1
2003,9,1,23,14,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,82,0,0
2004,9,1,31,12,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2003,9,0,29,12,0,1,0,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,48,1,1
2006,9,0,49,9,1,0,0,0,1,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40,1,1
2006,9,1,35,18,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,2,2
2005,9,1,33,16,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40,2,2
2004,9,1,27,13,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,1,1
2006,9,0,30,12,0,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60,1,1
2005,9,1,36,16,0,0,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,50,2,2
2004,9,1,44,14,0,0,1,0,1,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,1,47,12,0,1,0,0,1,19,0,0,0,0,1,0,1,0,0,0,0,0,0,1,72,1,1
2003,9,1,50,21,0,0,0,1,1,20,1,0,1,0,0,0,0,0,0,0,0,0,1,0,44,3,3
2005,9,1,50,12,0,1,0,0,1,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,44,2,2
2005,9,1,49,16,0,0,0,1,1,25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,70,2,2
2006,9,1,29,18,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,70,1,1
2006,9,1,34,12,0,1,0,0,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,66,0,1
2003,9,1,35,17,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50,1,1
2003,9,1,36,16,0,0,0,1,1,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2003,9,1,38,12,0,1,0,0,1,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,1
2006,9,1,31,14,0,0,1,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,45,2,2
2004,9,1,31,16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,40,1,2
2003,9,1,50,12,0,1,0,0,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,50,1,1
2004,9,0,44,12,0,1,0,0,1,9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,65,0,0
2005,9,1,41,16,0,0,0,1,1,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40,3,4
2004,9,1,51,16,0,0,0,1,1,24,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,2,3
2006,9,1,38,16,0,0,0,1,1,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,55,2,2
2006,9,1,45,9,1,0,0,0,1,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,3,3
2006,9,1,43,16,0,0,0,1,1,15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,48,2,3
2003,9,1,38,14,0,0,1,0,1,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,44,2,2
2006,9,1,39,18,0,0,0,0,0,14,1,0,1,0,0,0,0,0,0,1,0,0,0,0,54,2,2
2006,9,1,44,16,0,0,0,1,1,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48,1,1
2002,9,1,36,12,0,1,0,0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,40,1,2
2006,9,1,36,14,0,0,1,0,1,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,46,2,2
2006,9,1,37,16,0,0,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2006,9,1,47,12,0,1,0,0,1,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,0,0
2006,9,1,50,16,0,0,0,1,1,25,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40,3,3
2006,9,1,40,16,0,0,0,1,1,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,70,2,3
2006,9,1,47,21,0,0,0,0,1,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,3,4
2006,9,1,41,12,0,1,0,0,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,56,2,2
2006,9,1,39,16,0,0,0,1,1,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40,3,3
2006,9,1,40,12,0,1,0,0,1,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,1,37,14,0,0,1,0,1,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,60,1,1
2004,9,0,50,6,1,0,0,0,0,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,0,0
2002,9,1,55,16,0,0,0,1,1,28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,48,1,2
2003,9,1,51,6,1,0,0,0,1,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,2,2
2005,9,1,36,16,0,0,0,1,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40,1,2
2005,9,1,55,9,1,0,0,0,1,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,2,2
2003,9,1,34,16,0,0,0,1,1,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2004,9,1,38,12,0,1,0,0,1,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2003,9,1,42,12,0,1,0,0,1,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2006,9,1,41,16,0,0,0,1,1,16,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,60,12,0,1,0,0,1,25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40,2,2
2004,9,1,48,12,0,1,0,0,1,20,1,0,1,0,0,0,0,0,0,0,1,0,0,0,50,2,2
2006,9,1,40,16,0,0,0,1,0,12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40,3,3
2006,9,0,27,16,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,40,1,1
2006,9,1,32,16,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,40,2,2
2002,9,0,27,16,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1,1
2004,9,1,49,12,0,1,0,0,1,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,2
2004,9,1,42,12,0,1,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,48,1,1
2006,9,1,32,18,0,0,0,0,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,1,48,14,0,0,1,0,1,22,1,0,1,0,0,0,0,0,1,0,0,0,0,0,50,2,3
2005,9,1,41,16,0,0,0,1,1,15,1,0,1,0,0,0,0,0,0,0,0,1,0,0,42,2,2
2005,9,1,37,16,0,0,0,1,1,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,45,2,2
2003,9,1,33,12,0,1,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,72,1,1
2002,9,1,43,12,0,1,0,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,56,1,1
2003,9,1,35,18,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,54,1,1
2005,9,1,55,16,0,0,0,1,1,25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2006,9,1,36,14,0,0,1,0,1,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,40,2,2
2004,9,1,32,16,0,0,0,1,1,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,1,1
2005,9,1,37,16,0,0,0,1,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,3
2005,9,1,47,12,0,1,0,0,1,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,0,41,12,0,1,0,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2006,9,1,40,12,0,1,0,0,1,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2006,9,1,36,16,0,0,0,0,1,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,50,1,1
2006,9,1,36,16,0,0,0,1,1,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50,2,2
2005,9,1,39,12,0,1,0,0,1,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,44,2,2
2006,9,1,41,16,0,0,0,1,1,12,1,0,1,0,0,0,0,0,0,1,0,0,0,0,50,2,3
2006,9,1,48,12,0,1,0,0,1,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,2,2
2005,9,1,28,18,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,75,1,1
2005,9,1,35,12,0,1,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2005,9,1,25,14,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2003,9,1,50,16,0,0,0,1,1,23,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,2,2
2006,9,1,33,12,0,1,0,0,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,39,12,0,1,0,0,1,15,1,0,0,0,1,0,0,0,0,0,1,0,0,0,48,1,1
2006,9,1,35,16,0,0,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,2
2005,9,1,65,9,1,0,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,84,0,0
2002,9,1,36,12,0,1,0,0,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55,0,1
2006,9,1,42,16,0,0,0,1,1,15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,60,1,1
2006,9,1,58,16,0,0,0,1,1,29,1,0,1,0,0,0,0,0,1,0,0,0,0,1,60,2,3
2003,9,1,39,12,0,1,0,0,1,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2005,9,1,44,16,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,2,3
2006,9,1,37,16,0,0,0,1,1,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,44,3,3
2005,9,1,43,16,0,0,0,1,1,18,1,1,0,0,0,0,1,0,0,0,0,0,0,0,50,2,2
2005,9,1,39,16,0,0,0,1,1,13,1,0,1,0,0,0,1,0,0,0,0,0,0,0,50,2,3
2006,9,1,31,12,0,1,0,0,1,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,58,1,1
2005,9,1,41,12,0,1,0,0,1,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,2
2004,9,1,33,12,0,1,0,0,1,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,31,16,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,52,1,1
2002,9,0,46,6,1,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60,0,1
2003,9,1,41,16,0,0,0,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,60,2,2
2005,9,1,63,9,1,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,44,1,1
2004,9,1,44,12,0,1,0,0,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,1
2005,9,1,46,14,0,0,1,0,1,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,3,3
2004,9,0,28,16,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,44,1,1
2005,9,1,28,14,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,1
2004,9,1,47,12,0,1,0,0,1,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,2
2004,9,1,35,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,2,2
2006,9,1,36,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,2
2003,9,1,37,18,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,40,2,2
2004,9,1,46,12,0,1,0,0,1,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,1,37,16,0,0,0,1,1,11,1,0,1,0,0,0,0,0,1,0,0,0,0,0,40,2,2
2006,9,1,42,14,0,0,1,0,1,15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,1,1
2005,9,1,36,18,0,0,0,1,1,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,72,1,2
2005,9,1,35,20,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,48,2,2
2005,9,1,37,12,0,1,0,0,1,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,36,16,0,0,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2005,9,1,30,12,0,1,0,0,1,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2006,9,0,21,12,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,44,1,1
2004,9,1,48,9,1,0,0,0,1,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2006,9,1,26,12,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,50,2,2
2006,9,1,39,12,0,1,0,0,1,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2005,9,1,35,12,0,1,0,0,1,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2003,9,0,27,18,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,50,1,1
2006,9,1,58,12,0,1,0,0,1,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48,1,1
2002,9,1,41,18,0,0,0,1,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,40,3,4
2006,9,1,39,16,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,55,1,2
2005,9,1,36,12,0,1,0,0,1,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,45,1,1
2003,9,1,36,12,0,1,0,0,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,54,1,1
2006,9,1,32,14,0,0,1,0,1,10,1,0,0,0,1,0,0,0,0,0,0,1,0,1,40,1,1
2004,9,1,40,12,0,1,0,0,1,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,48,1,1
2002,9,1,38,14,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1,1
2005,9,1,33,12,0,1,0,0,1,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,50,1,1
2006,9,1,41,12,0,1,0,0,1,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,2
2006,9,1,44,12,0,1,0,0,1,20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,50,1,1
2003,9,1,46,16,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,72,2,2
2005,9,1,46,18,0,0,0,1,1,20,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40,2,3
2004,9,1,36,12,0,1,0,0,1,19,1,0,0,0,1,0,1,0,0,0,0,0,0,0,60,2,2
2005,9,1,44,14,0,0,1,0,1,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,65,1,1
2006,9,1,29,16,0,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,56,1,1
2006,9,1,46,16,0,0,0,1,1,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,50,2,2
2006,9,1,49,12,0,1,0,0,1,21,1,0,0,0,1,0,0,0,0,0,0,0,1,0,45,1,1
2005,9,1,54,16,0,0,0,1,1,29,1,1,0,0,0,0,0,0,1,0,0,0,0,0,50,3,3
2003,9,1,30,12,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,44,1,1
2006,9,1,43,12,0,1,0,0,1,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,2,3
2005,9,1,33,16,0,0,0,1,0,10,1,0,1,0,0,0,0,0,0,1,0,0,0,0,40,2,2
2003,9,1,38,20,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,48,2,3
2006,9,1,40,16,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,2
2002,9,1,42,12,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,1,2
2005,9,0,31,12,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60,1,1
